UNIQIDNEW,SHS_2CLA,NUMCARS_NEW,dyear,council,area,MD20QUIN,RTPSEGIS,RTParea,numkids,hhsize,hhtype_new,nssec2,seg,htcostsum_1,htcostsum_2,htcostsum_3,htcostsum_4,htcostsum_5,htcostsum_6,htcostsum_7,htcostsum_8,htcostsum_9,htcostamt_1,htcostamt_2,htcostamt_3,htcostamt_4,htcostamt_5,htcostamt_6,htcostamt_7,htcostamt_8,htcostamt_9,hb1,hb509,hc4,ht2a,hk2,hk3,hk4,hk5,mortgage_sum,mortgage_amt,rent_sum,rent_amt,shared_ownership_sum,shared_ownership_amt,ra1
2219799869,Urban,2+,2023 dataset/script,A,Grampian,5 - 20% least deprived,S07000002,North East,0,1,Single pensioner,Routine occupations,Unskilled manual workers,,,,,,,,,,,,,,,,,,,House or bungalow,Buying with mortgage/loan,2,,Manage quite well,No,,No,Buying with mortgage - amount given by respondent,370,Buying with a mortgage,,Buying with a mortgage,,25
6143704871,Urban,1,2023 dataset/script,A,Grampian,5 - 20% least deprived,S07000002,North East,0,2,Older smaller,Not classified,Inadequately described and not stated,"Use, pay combined with other fuel","Use, pay combined with other fuel",Do not use,Do not use,Do not use,Do not use,Do not use,Do not use,"More than one paid together, amount given",,,,,,,,,4800,House or bungalow,Own it outright,4,Central heating with radiators,Manage quite well,No,,No,OO without mortgage,,OO without mortgage,,OO without mortgage,,30+
8482312159,Urban,2+,2023 dataset/script,A,Grampian,5 - 20% least deprived,S07000002,North East,0,3,Large adult,Semi-routine occupations,Junior non-manual workers,"Use, pay combined with other fuel","Use, pay combined with other fuel",Do not use,Do not use,Do not use,Do not use,Do not use,Do not use,"More than one paid together, amount given",,,,,,,,,3000,House or bungalow,Own it outright,5+,Central heating with radiators,Manage quite well,,,,OO without mortgage,,OO without mortgage,,OO without mortgage,,30+
7953085875,Urban,2+,2023 dataset/script,A,Grampian,4,S07000002,North East,0,3,Large adult,Not classified,Inadequately described and not stated,,,,,,,,,,,,,,,,,,,House or bungalow,Buying with mortgage/loan,3,,Get by alright,No,,No,"Buying with mortgage - amount given by respondent, but not used in imputation routines","£1,320 or more",Buying with a mortgage,,Buying with a mortgage,,26
1379589127,Rural,2+,2023 dataset/script,B,Grampian,5 - 20% least deprived,S07000002,North East,0,2,Small adult,Higher managerial and professional occupations,Professional workers - employees,,,,,,,,,,,,,,,,,,,House or bungalow,Buying with mortgage/loan,3,,Get by alright,No,,No,Buying with mortgage - amount given by respondent,900,Buying with a mortgage,,Buying with a mortgage,,1
9317150236,Urban,0,2023 dataset/script,A,Grampian,5 - 20% least deprived,S07000002,North East,0,2,Small adult,Small employers and own account workers,Own account workers (other than professional),,,,,,,,,,,,,,,,,,,House or bungalow,Own it outright,4,,Manage very well,No,,No,OO without mortgage,,OO without mortgage,,OO without mortgage,,30+
288178670,Urban,1,2023 dataset/script,A,Grampian,5 - 20% least deprived,S07000002,North East,0,3,Small family,Not classified,Inadequately described and not stated,,,,,,,,,,,,,,,,,,,House or bungalow,Buying with mortgage/loan,2,,Have some financial difficulties,,,,"Buying with mortgage - amount given by respondent, but not used in imputation routines",£200 or less,Buying with a mortgage,,Buying with a mortgage,,2
7298267604,Urban,2+,2023 dataset/script,A,Grampian,5 - 20% least deprived,S07000002,North East,0,3,Large adult,Not classified,Inadequately described and not stated,,,,,,,,,,,,,,,,,,,House or bungalow,Own it outright,3,,Get by alright,No,,No,OO without mortgage,,OO without mortgage,,OO without mortgage,,30+
3077358366,Urban,1,2023 dataset/script,A,Grampian,4,S07000002,North East,2,3,Single parent,Lower managerial and professional occupations,Intermediate non-manual workers,,,,,,,,,,,,,,,,,,,House or bungalow,Buying with mortgage/loan,3,,Get by alright,,,,Buying with mortgage - amount given by respondent,860,Buying with a mortgage,,Buying with a mortgage,,9
2245662455,Urban,1,2023 dataset/script,A,Grampian,4,S07000002,North East,0,1,Single adult,Lower managerial and professional occupations,Intermediate non-manual workers,"Use, pay combined with other fuel","Use, pay combined with other fuel",Do not use,Do not use,Do not use,Do not use,Do not use,Do not use,"More than one paid together, amount given",,,,,,,,,2400,House or bungalow,Buying with mortgage/loan,3,Central heating with radiators,Don't manage very well,,,,Buying with mortgage - amount given by respondent,800,Buying with a mortgage,,Buying with a mortgage,,11
1091086567,Rural,2+,2023 dataset/script,B,Grampian,5 - 20% least deprived,S07000002,North East,0,3,Large adult,Semi-routine occupations,Junior non-manual workers,"Use, pay combined with other fuel","Use, pay combined with other fuel",Do not use,Do not use,Do not use,Do not use,Do not use,Do not use,"More than one paid together, amount given",,,,,,,,,3372,House or bungalow,Own it outright,2,Central heating with radiators,Get by alright,,,,OO without mortgage,,OO without mortgage,,OO without mortgage,,21
1303442890,Urban,1,2023 dataset/script,A,Grampian,4,S07000002,North East,2,4,Small family,Lower managerial and professional occupations,Junior non-manual workers,,,,,,,,,,,,,,,,,,,House or bungalow,Buying with mortgage/loan,4,,Manage quite well,,,,Buying with mortgage - amount given by respondent,1200,Buying with a mortgage,,Buying with a mortgage,,9
2004649169,Urban,2+,2023 dataset/script,A,Grampian,4,S07000002,North East,0,2,Small adult,Lower managerial and professional occupations,Employers and managers - small establishments,,,,,,,,,,,,,,,,,,,House or bungalow,Buying with mortgage/loan,3,,Get by alright,No,,No,Buying with mortgage - amount given by respondent,810,Buying with a mortgage,,Buying with a mortgage,,2
7256504702,Urban,2+,2023 dataset/script,A,Grampian,4,S07000002,North East,0,2,Small adult,Lower supervisory and technical occupations,Skilled manual workers,,,,,,,,,,,,,,,,,,,House or bungalow,Buying with mortgage/loan,3,,Manage quite well,,,,Buying with mortgage - amount given by respondent,850,Buying with a mortgage,,Buying with a mortgage,,3
